display,d1_raw,d2_raw,d3_raw,d4_raw,d1_rank_score,d2_rank_score,d3_rank_score,d4_rank_score,composite_geo
LARIS,0.56,0.7244714526851003,0.6475964021859939,0.6814038534159798,0.5,1.0,0.9,0.8,0.7745966692414834
stCASE,0.64,0.4939643599700369,0.3328458025058621,0.6997109170555796,0.7,0.7,0.8,0.9,0.7706942949034331
LIANA,0.68,0.1840693509064328,0.9522794932014133,0.580417552279159,0.8,0.4,1.0,0.6,0.6619501839293747
SpaCcLink,0.52,0.6797927603349654,0.1945078239781805,0.5961679071567029,0.35,0.9,0.7,0.7,0.6267966381620628
Spacia,0.84,0.2067007792536444,0.1628481165903689,0.565647716201053,0.9,0.5,0.6,0.4,0.5732656753226201
StereoSiTE,1.0,0.2202266025371133,0.1476185281813095,0.5433138264158647,1.0,0.6,0.5,0.3,0.5477225575051662
COMMOT,0.4,0.6084150174055412,0.116258853098299,0.7432566175913453,0.2,0.8,0.4,1.0,0.5029733718731743
SPIDER,0.6,0.0112980401460691,0.0305200736819236,0.510104078113408,0.6,0.3,0.2,0.2,0.29129506302439406
stLearn,0.52,-0.0054318469435356,0.0802342357678606,0.4992209763389642,0.35,0.2,0.3,0.1,0.21406951429280727
CellAgentChat,0.08,-0.0067887935523236,0.0097550899542026,0.5682969197462122,0.1,0.1,0.1,0.5,0.14953487812212207
